emoji_category,number,code,CLDR_Short_Name
face-positive,1,U+1F600,grinning face
face-positive,2,U+1F601,beaming face with smiling eyes
face-positive,3,U+1F602,face with tears of joy
face-positive,4,U+1F923,rolling on the floor laughing
face-positive,5,U+1F603,grinning face with big eyes
face-positive,6,U+1F604,grinning face with smiling eyes
face-positive,7,U+1F605,grinning face with sweat
face-positive,8,U+1F606,grinning squinting face
face-positive,9,U+1F609,winking face
face-positive,10,U+1F60A,smiling face with smiling eyes
face-positive,11,U+1F60B,face savoring food
face-positive,12,U+1F60E,smiling face with sunglasses
face-positive,13,U+1F60D,smiling face with heart-eyes
face-positive,14,U+1F618,face blowing a kiss
face-positive,15,U+1F970,? smiling face with 3 hearts
face-positive,16,U+1F617,kissing face
face-positive,17,U+1F619,kissing face with smiling eyes
face-positive,18,U+1F61A,kissing face with closed eyes
face-positive,19,U+263A,smiling face
face-positive,20,U+1F642,slightly smiling face
face-positive,21,U+1F917,hugging face
face-positive,22,U+1F929,star-struck
face-neutral,23,U+1F914,thinking face
face-neutral,24,U+1F928,face with raised eyebrow
face-neutral,25,U+1F610,neutral face
face-neutral,26,U+1F611,expressionless face
face-neutral,27,U+1F636,face without mouth
face-neutral,28,U+1F644,face with rolling eyes
face-neutral,29,U+1F60F,smirking face
face-neutral,30,U+1F623,persevering face
face-neutral,31,U+1F625,sad but relieved face
face-neutral,32,U+1F62E,face with open mouth
face-neutral,33,U+1F910,zipper-mouth face
face-neutral,34,U+1F62F,hushed face
face-neutral,35,U+1F62A,sleepy face
face-neutral,36,U+1F62B,tired face
face-neutral,37,U+1F634,sleeping face
face-neutral,38,U+1F60C,relieved face
face-neutral,39,U+1F61B,face with tongue
face-neutral,40,U+1F61C,winking face with tongue
face-neutral,41,U+1F61D,squinting face with tongue
face-neutral,42,U+1F924,drooling face
face-neutral,43,U+1F612,unamused face
face-neutral,44,U+1F613,downcast face with sweat
face-neutral,45,U+1F614,pensive face
face-neutral,46,U+1F615,confused face
face-neutral,47,U+1F643,upside-down face
face-neutral,48,U+1F911,money-mouth face
face-neutral,49,U+1F632,astonished face
face-negative,50,U+2639,frowning face
face-negative,51,U+1F641,slightly frowning face
face-negative,52,U+1F616,confounded face
face-negative,53,U+1F61E,disappointed face
face-negative,54,U+1F61F,worried face
face-negative,55,U+1F624,face with steam from nose
face-negative,56,U+1F622,crying face
face-negative,57,U+1F62D,loudly crying face
face-negative,58,U+1F626,frowning face with open mouth
face-negative,59,U+1F627,anguished face
face-negative,60,U+1F628,fearful face
face-negative,61,U+1F629,weary face
face-negative,62,U+1F92F,exploding head
face-negative,63,U+1F62C,grimacing face
face-negative,64,U+1F630,anxious face with sweat
face-negative,65,U+1F631,face screaming in fear
face-negative,66,U+1F975,? hot face
face-negative,67,U+1F976,? cold face
face-negative,68,U+1F633,flushed face
face-negative,69,U+1F92A,zany face
face-negative,70,U+1F635,dizzy face
face-negative,71,U+1F621,pouting face
face-negative,72,U+1F620,angry face
face-negative,73,U+1F92C,face with symbols on mouth
face-sick,74,U+1F637,face with medical mask
face-sick,75,U+1F912,face with thermometer
face-sick,76,U+1F915,face with head-bandage
face-sick,77,U+1F922,nauseated face
face-sick,78,U+1F92E,face vomiting
face-sick,79,U+1F927,sneezing face
face-role,80,U+1F607,smiling face with halo
face-role,81,U+1F920,cowboy hat face
face-role,82,U+1F973,? partying face
face-role,83,U+1F974,? woozy face
face-role,84,U+1F97A,? pleading face
face-role,85,U+1F925,lying face
face-role,86,U+1F92B,shushing face
